TimeStamp,Close,High,Low,Open
1/25/2019 9:19:52.000000000 AM,2945182,2945182,2944505,2944505
1/25/2019 9:19:54.000000000 AM,2945310,2945310,2945200,2945200
1/25/2019 9:19:56.000000000 AM,2945417,2945417,2945362,2945362
1/25/2019 9:19:58.000000000 AM,2945490,2945490,2945402,2945402
1/25/2019 9:20:00.000000000 AM,2944997,2944997,2944997,2944997
1/25/2019 9:20:02.000000000 AM,2944647,2944997,2944647,2944997
1/25/2019 9:20:04.000000000 AM,2944365,2944365,2944307,2944307
1/25/2019 9:20:06.000000000 AM,2944310,2944310,2944302,2944302
1/25/2019 9:20:08.000000000 AM,2943645,2944147,2943645,2944147
1/25/2019 9:20:10.000000000 AM,2943180,2943232,2943180,2943232
1/25/2019 9:20:12.000000000 AM,2943050,2943057,2943050,2943057
1/25/2019 9:20:14.000000000 AM,2943015,2943015,2943012,2943012
1/25/2019 9:20:16.000000000 AM,2942822,2942822,2942822,2942822
1/25/2019 9:20:18.000000000 AM,2942812,2942812,2942792,2942792
1/25/2019 9:20:20.000000000 AM,2942950,2942950,2942850,2942850
1/25/2019 9:20:22.000000000 AM,2943020,2943020,2942995,2942995
1/25/2019 9:20:24.000000000 AM,2944112,2944112,2943380,2943380
1/25/2019 9:20:26.000000000 AM,2944075,2944075,2944062,2944062
1/25/2019 9:20:28.000000000 AM,2943685,2944075,2943685,2944075
1/25/2019 9:20:30.000000000 AM,2942687,2943125,2942687,2943125
1/25/2019 9:20:32.000000000 AM,2942162,2942235,2942162,2942235
1/25/2019 9:20:34.000000000 AM,2941952,2941970,2941952,2941970
1/25/2019 9:20:36.000000000 AM,2943010,2943010,2941950,2941950
1/25/2019 9:20:38.000000000 AM,2943747,2943747,2943502,2943502
1/25/2019 9:20:40.000000000 AM,2943825,2944112,2943825,2944112
1/25/2019 9:20:42.000000000 AM,2943485,2943925,2943485,2943925
1/25/2019 9:20:44.000000000 AM,2943540,2943540,2943167,2943167
1/25/2019 9:20:46.000000000 AM,2942950,2942950,2942925,2942925
1/25/2019 9:20:48.000000000 AM,2943145,2943145,2942985,2942985
1/25/2019 9:20:50.000000000 AM,2942372,2942407,2942372,2942407
1/25/2019 9:20:52.000000000 AM,2942557,2942557,2942350,2942350
1/25/2019 9:20:54.000000000 AM,2942860,2942860,2942557,2942557
1/25/2019 9:20:56.000000000 AM,2943135,2943492,2943135,2943492
1/25/2019 9:20:58.000000000 AM,2943460,2943460,2943452,2943452
1/25/2019 9:21:00.000000000 AM,2943655,2943655,2943652,2943652
1/25/2019 9:21:02.000000000 AM,2944072,2944072,2944000,2944000
1/25/2019 9:21:04.000000000 AM,2943765,2944070,2943765,2944070
1/25/2019 9:21:06.000000000 AM,2944117,2944117,2943765,2943765
1/25/2019 9:21:08.000000000 AM,2943872,2943930,2943872,2943930
1/25/2019 9:21:10.000000000 AM,2943937,2943937,2943907,2943907
1/25/2019 9:21:12.000000000 AM,2943602,2944095,2943602,2944095
1/25/2019 9:21:14.000000000 AM,2943617,2943617,2943615,2943615
1/25/2019 9:21:16.000000000 AM,2943855,2943855,2943610,2943610
1/25/2019 9:21:18.000000000 AM,2943887,2944002,2943887,2944002
1/25/2019 9:21:20.000000000 AM,2943970,2943970,2943952,2943952
1/25/2019 9:21:22.000000000 AM,2943800,2943977,2943800,2943977
1/25/2019 9:21:24.000000000 AM,2944002,2944002,2943802,2943802
1/25/2019 9:21:26.000000000 AM,2944450,2944450,2944147,2944147
1/25/2019 9:21:28.000000000 AM,2944527,2944527,2944390,2944390
1/25/2019 9:21:30.000000000 AM,2944652,2944652,2944335,2944335
1/25/2019 9:21:32.000000000 AM,2945120,2945120,2944805,2944805
1/25/2019 9:21:34.000000000 AM,2945367,2945367,2945255,2945255
1/25/2019 9:21:36.000000000 AM,2944950,2945272,2944950,2945272
1/25/2019 9:21:38.000000000 AM,2945210,2945210,2944772,2944772
1/25/2019 9:21:40.000000000 AM,2944795,2944795,2944727,2944727
1/25/2019 9:21:42.000000000 AM,2944745,2944850,2944745,2944850
1/25/2019 9:21:44.000000000 AM,2945052,2945052,2944950,2944950
1/25/2019 9:21:46.000000000 AM,2945050,2945050,2945050,2945050
1/25/2019 9:21:48.000000000 AM,2945357,2945357,2945147,2945147
1/25/2019 9:21:50.000000000 AM,2945140,2945350,2945140,2945350
1/25/2019 9:21:52.000000000 AM,2945467,2945467,2945207,2945207
1/25/2019 9:21:54.000000000 AM,2945240,2945467,2945240,2945467
1/25/2019 9:21:56.000000000 AM,2945437,2945437,2945437,2945437
1/25/2019 9:21:58.000000000 AM,2945780,2945815,2945780,2945815
1/25/2019 9:22:00.000000000 AM,2945865,2945865,2945865,2945865
1/25/2019 9:22:02.000000000 AM,2945802,2945802,2945787,2945787
1/25/2019 9:22:04.000000000 AM,2945870,2945870,2945802,2945802
1/25/2019 9:22:06.000000000 AM,2946035,2946035,2945900,2945900
1/25/2019 9:22:08.000000000 AM,2946097,2946097,2946032,2946032
1/25/2019 9:22:10.000000000 AM,2946175,2946175,2946100,2946100
1/25/2019 9:22:12.000000000 AM,2946247,2946247,2946242,2946242
1/25/2019 9:22:14.000000000 AM,2946150,2946245,2946150,2946245
1/25/2019 9:22:16.000000000 AM,2946335,2946387,2946335,2946387
1/25/2019 9:22:18.000000000 AM,2946332,2946345,2946332,2946345
1/25/2019 9:22:20.000000000 AM,2946365,2946365,2946335,2946335
1/25/2019 9:22:22.000000000 AM,2946362,2946362,2946362,2946362
1/25/2019 9:22:24.000000000 AM,2946355,2946362,2946355,2946362
1/25/2019 9:22:26.000000000 AM,2946355,2946355,2946355,2946355
1/25/2019 9:22:28.000000000 AM,2946257,2946310,2946257,2946310
1/25/2019 9:22:30.000000000 AM,2946242,2946317,2946242,2946317
1/25/2019 9:22:32.000000000 AM,2946147,2946370,2946147,2946370
1/25/2019 9:22:34.000000000 AM,2946117,2946195,2946117,2946195
1/25/2019 9:22:36.000000000 AM,2945442,2945442,2945382,2945382
1/25/2019 9:22:38.000000000 AM,2945460,2945460,2945442,2945442
1/25/2019 9:22:40.000000000 AM,2945147,2945255,2945147,2945255
1/25/2019 9:22:42.000000000 AM,2945012,2945075,2945012,2945075
1/25/2019 9:22:44.000000000 AM,2945170,2945170,2945012,2945012
1/25/2019 9:22:46.000000000 AM,2945145,2945145,2945145,2945145
1/25/2019 9:22:48.000000000 AM,2945267,2945267,2945267,2945267
1/25/2019 9:22:50.000000000 AM,2945297,2945297,2945075,2945075
1/25/2019 9:22:52.000000000 AM,2945502,2945502,2945347,2945347
1/25/2019 9:22:54.000000000 AM,2945660,2945660,2945660,2945660
1/25/2019 9:22:56.000000000 AM,2945942,2945942,2945942,2945942
1/25/2019 9:22:58.000000000 AM,2946022,2946022,2945647,2945647
1/25/2019 9:23:00.000000000 AM,2946025,2946025,2946025,2946025
1/25/2019 9:23:02.000000000 AM,2946012,2946017,2946012,2946017
1/25/2019 9:23:04.000000000 AM,2945832,2946005,2945832,2946005
1/25/2019 9:23:06.000000000 AM,2945652,2945652,2945407,2945407
1/25/2019 9:23:08.000000000 AM,2945750,2945750,2945700,2945700
1/25/2019 9:23:10.000000000 AM,2945930,2945930,2945750,2945750
1/25/2019 9:23:12.000000000 AM,2945932,2945950,2945932,2945950
1/25/2019 9:23:14.000000000 AM,2946190,2946190,2946125,2946125
1/25/2019 9:23:16.000000000 AM,2946147,2946190,2946147,2946190
1/25/2019 9:23:18.000000000 AM,2946202,2946202,2946200,2946200
1/25/2019 9:23:20.000000000 AM,2946355,2946355,2946350,2946350
1/25/2019 9:23:22.000000000 AM,2946280,2946405,2946280,2946405
1/25/2019 9:23:24.000000000 AM,2946162,2946272,2946162,2946272
1/25/2019 9:23:26.000000000 AM,2946360,2946360,2946127,2946127
1/25/2019 9:23:28.000000000 AM,2946190,2946212,2946190,2946212
1/25/2019 9:23:30.000000000 AM,2946072,2946072,2945710,2945710
1/25/2019 9:23:32.000000000 AM,2946022,2946022,2945867,2945867
1/25/2019 9:23:34.000000000 AM,2945457,2946072,2945457,2946072
1/25/2019 9:23:36.000000000 AM,2945627,2945627,2945545,2945545
1/25/2019 9:23:38.000000000 AM,2945345,2945615,2945345,2945615
1/25/2019 9:23:40.000000000 AM,2945295,2945345,2945295,2945345
1/25/2019 9:23:42.000000000 AM,2944795,2945195,2944795,2945195
1/25/2019 9:23:44.000000000 AM,2944750,2944750,2944747,2944747
1/25/2019 9:23:46.000000000 AM,2944752,2944755,2944752,2944755
1/25/2019 9:23:48.000000000 AM,2944747,2944752,2944747,2944752
1/25/2019 9:23:50.000000000 AM,2944682,2944682,2944675,2944675
1/25/2019 9:23:52.000000000 AM,2944750,2944750,2944745,2944745
1/25/2019 9:23:54.000000000 AM,2944737,2944737,2944737,2944737
1/25/2019 9:23:56.000000000 AM,2944497,2944692,2944497,2944692
1/25/2019 9:23:58.000000000 AM,2944345,2944345,2944332,2944332
1/25/2019 9:24:00.000000000 AM,2944345,2944345,2944345,2944345
1/25/2019 9:24:02.000000000 AM,2944450,2944450,2944345,2944345
1/25/2019 9:24:04.000000000 AM,2944397,2944550,2944397,2944550
1/25/2019 9:24:06.000000000 AM,2944690,2944690,2944402,2944402
1/25/2019 9:24:08.000000000 AM,2944752,2944752,2944752,2944752
1/25/2019 9:24:10.000000000 AM,2944757,2944757,2944757,2944757
1/25/2019 9:24:12.000000000 AM,2944275,2944275,2944247,2944247
1/25/2019 9:24:14.000000000 AM,2944440,2944440,2944347,2944347
1/25/2019 9:24:16.000000000 AM,2944447,2944447,2944440,2944440
1/25/2019 9:24:18.000000000 AM,2944275,2944350,2944275,2944350
1/25/2019 9:24:20.000000000 AM,2944305,2944332,2944305,2944332
1/25/2019 9:24:22.000000000 AM,2944395,2944395,2944387,2944387
1/25/2019 9:24:24.000000000 AM,2944425,2944492,2944425,2944492
1/25/2019 9:24:26.000000000 AM,2944550,2944550,2944400,2944400
1/25/2019 9:24:28.000000000 AM,2944712,2944712,2944550,2944550
1/25/2019 9:24:30.000000000 AM,2944755,2944755,2944672,2944672
1/25/2019 9:24:32.000000000 AM,2944772,2944772,2944755,2944755
1/25/2019 9:24:34.000000000 AM,2945035,2945035,2944977,2944977
1/25/2019 9:24:36.000000000 AM,2944950,2945005,2944950,2945005
1/25/2019 9:24:38.000000000 AM,2945027,2945027,2944875,2944875
1/25/2019 9:24:40.000000000 AM,2945430,2945430,2945035,2945035
1/25/2019 9:24:42.000000000 AM,2945435,2945435,2945435,2945435
1/25/2019 9:24:44.000000000 AM,2945435,2945435,2945435,2945435
1/25/2019 9:24:46.000000000 AM,2945555,2945555,2945435,2945435
1/25/2019 9:24:48.000000000 AM,2945062,2945555,2945062,2945555
1/25/2019 9:24:50.000000000 AM,2945170,2945225,2945170,2945225
1/25/2019 9:24:52.000000000 AM,2945115,2945115,2945077,2945077
1/25/2019 9:24:54.000000000 AM,2945197,2945205,2945197,2945205
1/25/2019 9:24:56.000000000 AM,2945447,2945452,2945447,2945452
1/25/2019 9:24:58.000000000 AM,2945195,2945450,2945195,2945450
1/25/2019 9:25:00.000000000 AM,2944795,2944795,2944795,2944795
1/25/2019 9:25:02.000000000 AM,2944795,2944797,2944795,2944797
1/25/2019 9:25:04.000000000 AM,2944810,2944810,2944800,2944800
1/25/2019 9:25:06.000000000 AM,2945015,2945015,2944795,2944795
1/25/2019 9:25:08.000000000 AM,2944820,2944820,2944820,2944820
1/25/2019 9:25:10.000000000 AM,2944610,2944610,2944610,2944610
1/25/2019 9:25:12.000000000 AM,2944560,2944570,2944560,2944570
1/25/2019 9:25:14.000000000 AM,2944437,2944447,2944437,2944447
1/25/2019 9:25:16.000000000 AM,2944395,2944440,2944395,2944440
1/25/2019 9:25:18.000000000 AM,2944407,2944407,2944397,2944397
1/25/2019 9:25:20.000000000 AM,2944350,2944350,2944345,2944345
1/25/2019 9:25:22.000000000 AM,2944245,2944245,2944245,2944245
1/25/2019 9:25:24.000000000 AM,2944292,2944292,2944247,2944247
1/25/2019 9:25:26.000000000 AM,2944195,2944247,2944195,2944247
1/25/2019 9:25:28.000000000 AM,2944197,2944197,2944197,2944197
1/25/2019 9:25:30.000000000 AM,2943907,2943907,2943907,2943907
1/25/2019 9:25:32.000000000 AM,2943790,2943837,2943790,2943837
1/25/2019 9:25:34.000000000 AM,2943780,2943780,2943780,2943780
1/25/2019 9:25:36.000000000 AM,2943805,2943805,2943782,2943782
1/25/2019 9:25:38.000000000 AM,2944257,2944257,2944055,2944055
1/25/2019 9:25:40.000000000 AM,2944320,2944320,2944257,2944257
1/25/2019 9:25:42.000000000 AM,2944505,2944505,2944442,2944442
1/25/2019 9:25:44.000000000 AM,2944317,2944510,2944317,2944510
1/25/2019 9:25:46.000000000 AM,2943945,2944255,2943945,2944255
1/25/2019 9:25:48.000000000 AM,2943730,2943900,2943730,2943900
1/25/2019 9:25:50.000000000 AM,2944115,2944160,2944115,2944160
1/25/2019 9:25:52.000000000 AM,2944202,2944202,2944202,2944202
1/25/2019 9:25:54.000000000 AM,2944210,2944210,2944202,2944202
1/25/2019 9:25:56.000000000 AM,2944305,2944307,2944305,2944307
1/25/2019 9:25:58.000000000 AM,2944430,2944430,2944305,2944305
1/25/2019 9:26:00.000000000 AM,2944705,2944755,2944705,2944755
1/25/2019 9:26:02.000000000 AM,2944655,2944755,2944655,2944755
1/25/2019 9:26:04.000000000 AM,2944547,2944547,2944547,2944547
1/25/2019 9:26:06.000000000 AM,2944817,2944817,2944755,2944755
1/25/2019 9:26:08.000000000 AM,2944917,2944917,2944817,2944817
1/25/2019 9:26:10.000000000 AM,2945047,2945047,2945047,2945047
1/25/2019 9:26:12.000000000 AM,2945097,2945097,2945050,2945050
1/25/2019 9:26:14.000000000 AM,2945097,2945097,2945097,2945097
1/25/2019 9:26:16.000000000 AM,2945275,2945275,2945275,2945275
1/25/2019 9:26:18.000000000 AM,2945377,2945377,2945222,2945222
1/25/2019 9:26:20.000000000 AM,2945270,2945357,2945270,2945357
1/25/2019 9:26:22.000000000 AM,2945310,2945312,2945310,2945312
1/25/2019 9:26:24.000000000 AM,2945537,2945537,2945312,2945312
1/25/2019 9:26:26.000000000 AM,2945537,2945537,2945537,2945537
1/25/2019 9:26:28.000000000 AM,2945435,2945437,2945435,2945437
1/25/2019 9:26:30.000000000 AM,2945810,2945810,2945435,2945435
1/25/2019 9:26:32.000000000 AM,2945542,2945607,2945542,2945607
1/25/2019 9:26:34.000000000 AM,2945652,2945652,2945622,2945622
1/25/2019 9:26:36.000000000 AM,2945850,2945850,2945650,2945650
